sequence,renamed_file,original_file,description
33,033-wrong-saved-search-comparison-trigger-result.png,848fa8b8-52fe-4d70-a0e7-d2d47548fc21.png,wrong-saved-search-comparison-trigger-result
34,034-correct-saved-detection-spl-in-alert.png,e54a79ca-53d5-4632-a0bd-e4f7d069a64f.png,correct-saved-detection-spl-in-alert
35,035-scheduled-alert-validation-traffic.png,5a6400f1-f3b4-4848-9501-aa11fadaa3f6.png,scheduled-alert-validation-traffic
36,036-scheduled-alert-trigger-history-fresh.png,e0d2bf43-ccda-4b41-870d-1bcfea728a9f.png,scheduled-alert-trigger-history-fresh
37,037-scheduled-alert-trigger-result-metrics.png,34b9ac3b-2b3d-4ac3-9074-541dd621708a.png,scheduled-alert-trigger-result-metrics
38,038-scheduled-alert-trigger-result-metadata.png,8c32c6d6-bcfa-4133-b9d0-f42ea3244cf7.png,scheduled-alert-trigger-result-metadata
39,039-raw-dns-drilldown.png,941693c4-1c09-445e-a0e0-b64db2208f96.png,raw-dns-drilldown
40,040-ai-evidence-contract-row.png,e730d277-9f8f-4928-96ee-1f7badabff23.png,ai-evidence-contract-row
41,041-ai-bridge-status-profile-grep-host-health-attempt.png,341ee267-1dae-40bb-8132-d8c2d65d9f6b.png,ai-bridge-status-profile-grep-host-health-attempt
42,042-ai-bridge-live-prompt-openai-schema-call.png,c8313cf8-5a5d-4f4e-87a3-513502c8b143.png,ai-bridge-live-prompt-openai-schema-call
43,043-ai-bridge-live-hec-result-wrapper.png,9dff6b63-aa13-43b7-9f26-bf49e4c58e17.png,ai-bridge-live-hec-result-wrapper
44,044-ai-response-schema-part-1.png,279f3a2d-bbda-4c84-9ffd-0b88bcafc96e.png,ai-response-schema-part-1
45,045-ai-response-schema-part-2.png,9bcd5286-bbbf-4359-be81-7aaaff101f19.png,ai-response-schema-part-2
46,046-ai-response-schema-part-3-hec.png,8c30f3b4-2ba6-4c32-8379-e920366a89c5.png,ai-response-schema-part-3-hec
47,047-alert-webhook-action-added-collapsed.png,7d89a037-c7f0-4b74-b9cb-11405fefe73a.png,alert-webhook-action-added-collapsed
48,048-initial-ai-e2e-test-traffic.png,1610fbcb-3b8b-4e25-9b93-2c33cf685162.png,initial-ai-e2e-test-traffic
49,049-initial-ai-e2e-detection-result-metrics.png,fd5ee868-ca17-4aaf-bfc4-d7abd3036a72.png,initial-ai-e2e-detection-result-metrics
50,050-initial-ai-e2e-detection-result-metadata.png,40c55621-5d85-4a4d-a875-313a5f96c6a9.png,initial-ai-e2e-detection-result-metadata
51,051-ai-index-zero-results-after-initial-test.png,d1cf5824-2d05-46b4-b485-94c9e2a50807.png,ai-index-zero-results-after-initial-test
52,052-splunk-container-to-ai-bridge-health-success.png,d486c790-e4f7-4fba-a9fe-6b23bfee5dc9.png,splunk-container-to-ai-bridge-health-success
53,053-webhook-url-expanded.png,b2d7510b-e39b-47f9-acbf-d2b9beefa069.png,webhook-url-expanded
54,054-splunk-log-permission-denied.png,ae477b0b-8c01-4b2c-bad4-9005dbc1b61b.png,splunk-log-permission-denied
55,055-splunk-webhook-old-log-history.png,b23a5537-cc5a-4763-9a07-3b6c719add13.png,splunk-webhook-old-log-history
56,056-splunk-current-webhook-http-400.png,f4974dd9-8c9d-4ba6-b9f7-41aedc1ca7a4.png,splunk-current-webhook-http-400
57,057-ai-alert-schema-part-1.png,d3d4f65a-a96f-4d62-9d6e-518066fc1137.png,ai-alert-schema-part-1
58,058-ai-alert-schema-part-2.png,b5220a2b-838e-4cfd-ad38-7fba7fe4a6e5.png,ai-alert-schema-part-2
59,059-updated-final-detection-contract-metrics.png,3bad484d-8eee-42fb-a1d4-ca7a621071ed.png,updated-final-detection-contract-metrics
60,060-updated-final-detection-contract-fields.png,db8bade4-6440-466e-8ac7-c30421b68084.png,updated-final-detection-contract-fields
61,061-final-ai-e2e-retest-traffic.png,0401b123-c029-47b7-be3f-43df5a225e15.png,final-ai-e2e-retest-traffic
62,062-ai-triage-indexed-left.png,003af69c-38f5-472d-96d6-16b72e4a9241.png,ai-triage-indexed-left
63,063-ai-triage-indexed-right.png,d79b488a-f689-4056-bdaa-54a21c215b37.png,ai-triage-indexed-right
64,064-ai-vs-raw-final-readiness.png,a966ffd0-7805-4fd1-b53e-a69d4434976b.png,ai-vs-raw-final-readiness
